English,中文翻译,球队
A. Boupendza,布彭扎,浙江
Cryzan,克雷桑,山东泰山
A. Mitriță,米特里策,浙江
Leo,莱昂纳多,上海海港
A. Burcă,布尔克,云南玉昆
Mateus Vital,维塔尔,上海海港
Riccieli,里切利,青岛西海岸
A. Yakubu,阿齐兹,青岛西海岸
Guga,古加,北京国安
M. Sarkaria,萨卡里亚,深圳新鹏城
Rômulo,罗慕洛,成都蓉城
Óscar Melendo,梅伦多,上海海港
Serginho,塞尔吉尼奥,北京国安
U. Spajić,斯帕伊奇,北京国安
O. Omoijuanfo,奥莫伊胡安弗,长春亚泰
E. Karzev,卡尔采夫,深圳新鹏城
V. Qazaishvili,卡扎伊什维利,山东泰山
Matheus Jussa,茹萨,成都蓉城
F. Abreu,法比奥,北京国安
W. Cyprien,西普里安,长春亚泰
Nené,内内,云南玉昆
André Luis,安德烈·路易斯,上海申花
Pedro Henrique,佩德罗·恩里克,云南玉昆
Gustavo Sauer,绍尔,武汉三镇
Wilson Manafá,马纳法,上海申花
Bruno Nazário,纳萨里奥,河南
Wu Lei,武磊,上海海港
C. Malele,马莱莱,大连英博
Dawhan,达万,北京国安
F. Acheampong,阿奇姆彭,大连英博
Iago Maidana,迈达纳,河南
Darlan,达兰,武汉三镇
Chow Tim,周定洋,深圳新鹏城
Bruno Xadas,哈达斯,天津津门虎
Lucas Possignolo,卢卡斯,浙江
D. Lamkel Zé,兰·克尔泽,青岛海牛
João Teixeira,特谢拉,上海申花
I. Amadou,阿马杜,重庆铜梁龙
Alberto Quiles,基莱斯,天津津门虎
I. Alimi,阿利米,大连英博
M. Traoré,马马杜,大连英博
J. Kouassi,埃弗拉,浙江
O. Maritu,奥斯卡,云南玉昆
Gustavo,古斯塔沃,上海海港
Davidson,戴维森,青岛西海岸
Cristian Salvador,萨尔瓦多,天津津门虎
Jiang Guangtai,蒋光太,上海海港
M. Ngadeu-Ngadjui,恩加德乌,重庆铜梁龙
Matheus Índio,马特乌斯,青岛西海岸
Nélson da Luz,内尔松,青岛西海岸
Felippe Cardoso,卡多索,河南
Lucas Maia,马亚,河南
Wei Shihao,韦世豪,成都蓉城
Zeca,泽卡,山东泰山
Daniel Penha,佩尼亚,大连英博
Jiang Shenglong,蒋圣龙,上海申花
A. Ademi,阿代米,深圳新鹏城
A. Tudorie,图多列,武汉三镇
Filipe Augusto,奥古斯托,青岛海牛
Z. Labyad,拉步亚德,大连英博
F. Andrijašević,弗兰克,浙江
A. Ioniţă,约尼查,云南玉昆
N. Radmanovac,拉德曼诺瓦茨,青岛海牛
Tiago,蒂亚戈,深圳新鹏城
R. Dugalic,杜加里奇,深圳新鹏城
Park Ji-Soo,朴志洙,武汉三镇
Zhang Yuning,张玉宁,北京国安
Zhu Chenjie,朱辰杰,上海申花
T. Letschert,莱切特,成都蓉城
Liu Yang,刘洋,山东泰山
I. Kallon,卡隆,成都蓉城
Yago Cariello,卡列洛,浙江
R. Beric,贝里奇,长春亚泰
Lucas Gazal,卡扎尔,山东泰山
D. Morris,莫里斯,梅州客家
Wang Shangyuan,王上源,河南
Felipe,费利佩,成都蓉城
E. Ómarsson,奥马尔松,梅州客家
Y. Gurfinkel,古尔芬克尔,成都蓉城
Lluis López,洛佩斯,山东泰山
Gao Tianyi,高天意,上海申花
Xie Pengfei,谢鹏飞,上海申花
Gabrielzinho,加布里埃尔,上海海港
José Martínez,马丁内斯,云南玉昆
Gao Zhunyi,高准翼,山东泰山
